Company,Address,City,Zip Code
7-11 #32757                            ,128 EAST MAIN STREET                   ,HUNTINGTON         ,11743
A & P WALDBAUMS D.I.P. STORE # 236     ,60 WALL STREET                         ,HUNTINGTON         ,11743
KING KULLEN #19                        ,275 JERICHO TURNPIKE                   ,HUNTINGTON STATION ,11746
SUPERSTAR BEVERAGE                     ,516 EAST JERICHO TURNPIKE              ,HUNTINGTON STATION ,11746
COMPREVE MINI MARKET                   ,1415 NEW YORK AVENUE                   ,HUNTINGTON STATION ,11747
HUNTINGTON STATION FOOD PLAZA          ,2035 NEW YORK AVENUE                   ,HUNTINGTON STATION ,11746
A & P WALDBAUMS D.I.P. STORE # 298     ,890 WALT WHITMAN ROAD                  ,MELVILLE           ,11747
SUBURBAN EATS                          ,610 ROUTE 110                          ,MELVILLE           ,11747
KING KULLEN #05                        ,395G FORT SALONGA ROAD                 ,NORTHPORT          ,11731
NORTHSIDE GOURMET CATERERS             ,693 FORT SALONGA ROAD                  ,NORTHPORT          ,11768
HESS #32262                             ,2265 ROUTE 110                          ,EAST FARMINGDALE    ,11735
7-11 #32679                             ,525 NEWBRIDGE ROAD                      ,EAST MEADOW         ,11554
A & P WALDBAUMS D.I.P. STORE # 434      ,1530 FRONT STREET                       ,EAST MEADOW         ,11554
ZORNS                                   ,1439 HEMPSTEAD TURNPIKE                 ,EAST MEADOW         ,11554
NINAS DELI                              ,450 NEWBRIDGE RD                        ,EAST MEADOW         ,11554
BARNES & NOBLE SUNY FARMINGDALE UNIVERSI,ROUTE 110 / MELVILLE ROAD               ,FARMINGDALE         ,11735
SAM'S  WICHES                           ,10 SMITH STREET                         ,FARMINGDALE         ,11735
TOTAL HEALTH                            ,120 RT 110                              ,FARMINGDALE         ,11735
J & W SOUTHWIND                         ,1029 RT 109                             ,FARMINGDALE         ,11735
RETRO FITNESS OF FARMINDALE             ,1039 ROUTE 109                          ,FARMINGDALE         ,11735
BAGEL BOYS                              ,194 MERRITS RD                          ,FARMINGDALE         ,11735
PERFORMANCE FACTORY BASEBALL            ,931A CONKLIN STREET                     ,FARMINGDALE         ,11735
KING KULLEN #11                         ,3266 HEMPSTEAD TURNPIKE                 ,LEVITTOWN           ,11756
GULF - LEVITTOWN                        ,892 WANTAGH AVNUE                       ,LEVITTOWN           ,11756
LEVITTOWN MARKET                        ,3109 N. JERUSALEM RD                    ,LEVITTOWN           ,11793
KING KULLEN #46                        ,598 STEWART AVENUE                     ,BETHPAGE           ,11714
A & P - PATHMARK D.I.P. #653           ,3901 HEMPSTEAD TPKE                    ,BETHPAGE           ,11714
KING KULLEN #41                        ,275 SOUTH BROADWAY                     ,HICKSVILLE         ,11801
7-11 #32380                            ,413 JERUSALEM AVENUE                   ,HICKSVILLE         ,11801
7-11 #34138                            ,11 EAST OLD COUNTRY ROAD               ,HICKSVILLE         ,11801
BECAUSE OF YOU INC.  AT SLEEPYS        ,1000 SOUTH OYSTER BAY RD               ,HICKSVILLE         ,11801
NORTH  SHORE U HOSPITAL PLAINVIEW      ,888 OLD COUNTRY ROAD                   ,PLAINVIEW          ,11803
7-11 #33268                            ,160 SUNNYSIDE BLVD                     ,PLAINVIEW          ,11803
FAMILY BAGEL OF PLAINVIEW              ,140 MANETTO HILL RD                    ,PLAINVIEW          ,11803
CITGO GAS                              ,797 OLD COUNTRY ROAD                   ,PLAINVIEW          ,11803
KING KULLEN #32                        ,271 JERICHO TURNPIKE                   ,SYOSSET            ,11791
NEW CENTER COLLEGE                     ,6801 JERICHO TURNPIKE                  ,SYOSSET            ,11791
7-11 #34200                            ,573 JERICHO TURNPIKE                   ,SYOSSET            ,11791
WOODBURY COUNTRY DELI                  ,153 WOODBURY RD.                       ,WOODBURY           ,11797
COTTAGE PHARMACY                       ,8285 WOODBURY ROAD                     ,WOODBURY           ,11797
7-11 #39223                            ,260 VANDERBILT MOTOR PARKWAY           ,BRENTWOOD          ,11717
CENTEREACH DELI                        ,1769 MIDDLE COUNTRY RD.                ,CENTEREACH         ,11720
HEALTH HUTT INC                        ,"115 MARK TREE RD, SUITE 6              ",CENTERREACH        ,11720
COASTAL SPORTS                         ,114 PARKWAY DRIVE SOUTH                ,HAUPPAUGE          ,11788
BREAKTIME                              ,30 OSER AVENUE                         ,HAUPPAUGE          ,11788
GULF - HAUPPAGUE                       ,1395 VETERANS MEMORIAL HIGHWAY         ,ISLANDIA           ,11788
WHOLE FOODS -LAKE GROVE                ,140 NEW MORICHES ROAD                  ,LAKE GROVE         ,11755
7-11 #34081                            ,2820 MIDDLE COUNTRY ROAD               ,LAKE GROVE         ,11755
CORNER NEWS                            ,SMITHAVEN MALL                         ,LAKE GROVE         ,11755
KING KULLEN #10                        ,153 RONKONKOMA AVENUE                  ,LAKE RONKONKOMA    ,11779
"MMKE VENDING, INC.                     ",10 MILDRED COURT                       ,NESCONSET          ,11767
HESS #32566                            ,3415 VETERANS HIGHWAY                  ,RONKONKOMA         ,11779
A & P WALDBAUMS D.I.P. STORE # 630     ,601 PORTION ROAD                       ,RONKONKOMA         ,11779
LESSINGS - SIMON'S CENTER              ,100 NICHOLS ROAD                       ,STONY BROOK        ,11790
7-11 #23358                            ,ROUTE 25A NEAR QUAKER PATH             ,STONY BROOK        ,11790
COMPASS - LACKMANN-S.A.C.,100 NICOLLS ROAD     ,STONY BROOK        ,11790
HESS #32568                            ,640 MONTAUK HIGHWAY                    ,BAYPORT            ,11705
KING KULLEN #59                        ,29 MONTAUK HIGHWAY                     ,BLUE POINT         ,11715
7-11 #23367                            ,145 HOSPITAL ROAD                      ,E. PATCHOGUE       ,11772
A & P - PATHMARK D.I.P. #641           ,5801 SUNRISE HIGHWAY                   ,HOLBROOK           ,11741
A & P WALDBAUMS D.I.P. STORE # 286     ,328 UNION AVENUE                       ,HOLBROOK           ,11741
FLIK - MOTOROLA                        ,ONE MOTOROLA PLAZA                     ,HOLTSVILLE         ,11779
FOUR-U-CONVENIENCE                     ,3166 HORSEBLOCK ROAD                   ,MEDFORD            ,11763
BEST YET                               ,871 MONTAUK HWY                        ,OAKDALE            ,11769
LESSINGS - SAINT JOSEPHS COLLEGE       ,155 WEST ROE BLVD                      ,PATCHOGUE          ,11772
A & P - PATHMARK D.I.P. #614           ,399 ROUTE 112                          ,PATCHOGUE          ,11772
A & P WALDBAUMS D.I.P. STORE # 241     ,440 SUNRISE HIGHWAY                    ,PATCHOGUE          ,11772
RIVER DELI                             ,140 RIVER AVENUE                       ,PATCHOGUE          ,11772
SAYVILLE BEER (THRIFTY)                ,100 RAILROAD AVENUE                    ,SAYVILLE           ,11782
HERO HAVEN                             ,478-A NEIGHBORHOOD ROAD                ,SHIRLEY            ,11967
ELLAS MARKET                           ,14 WASHINGTON AVENUE                   ,WEST SAYVILLE      ,11796
KING KULLEN #26                        ,2044 MONTAUK HIGHWAY                   ,BRIDGEHAMPTON      ,11976
GOLDEN PEAR CAFE-BRIDGEHAMPTON         ,2426 MONTAUK HIGHWAY                   ,BRIDGEHAMPTON      ,11976
EAST HAMPTON INDOOR TENNIS CLUB        ,175 DANIELS HOLE ROAD                  ,EAST HAMPTON       ,11937
VILLA ITALIAN SPECIALTIES              ,7 RAILROAD AVENUE                      ,EAST HAMPTON       ,11937
A & P WALDBAUMS D.I.P. STORE # 257     ,67 NEWTOWN LANE                        ,EASTHAMPTON        ,11937
KING KULLEN #47                        ,52 EAST MONTAUK HIGHWAY &              ,HAMPTON BAYS       ,11946
7-11 #27187                            ,53 W. MONTAUK HIGHWAY                  ,HAMPTON BAYS       ,11946
LIGGETS DRUGS                          ,39-4 WEST MONTAUK HIGHWAY              ,HAMPTON BAYS       ,11946
7-11 #34532                            ,653 MONTAUK HIGHWAY                    ,MONTAUK            ,11946
COUNTRY DELI                           ,918 NOYACK ROAD                        ,NOYACK             ,11963
HESS #32596                            ,38 MONTAUK HIGHWAY                     ,QUOGUE             ,11959
GOLDEN PEAR CAFE - SAG HARBOR          ,111 MAIN STREET                        ,SAG HARBOR         ,11963
SOUTHAMPTON CAR WASH                   ,404 COUNTY ROAD 39A                    ,SOUTHAMPTON        ,11968
EVOLUTION FITNESS                      ,33 HILL STREET                         ,SOUTHAMPTON        ,11968
HESS #32480                            ,346 MONTAUK HIGHWAY                    ,WAINSCOTT          ,11975
HESS #32479                            ,1138 MONTAUK HIGHWAY                   ,WATERMILL          ,11976
HESS                                   ,1 EDWARDS AVE.                         ,CALVERTON          ,11949
KING KULLEN #03                        ,315-25 MAIN ROAD                       ,CUTCHOGUE          ,11952
GARDEN DELI                            ,790 ROUTE 24                           ,FLANDERS           ,11901
SHAMROCK GAS                           ,301 FLANDERS RD                        ,FLANDERS RD        ,11901
PATRIOT GAS                            ,1100 MAIN STREET                       ,GREENPORT          ,11944
AMERICAN GAS STATION                   ,1427 ROUTE 25                          ,JAMESPORT          ,11901
HANDY PANTRY - MATTITUCK               ,12250 ROUTE 25                         ,MATTITUCK          ,11952
7-11 #34216                            ,9945 MAIN STREET                       ,MATTITUCK          ,11952
KING KULLEN #37                        ,1235 MIDDLE COUNTRY ROAD               ,MIDDLE ISLAND      ,11953
BAGELS 101                             ,852 MIDDLE COUNTRY ROAD                ,MIDDLE ISLAND      ,11953
AMOCO GAS - PECONIC                    ,32400 ROUTE 48                         ,PECONIC            ,11958
7-11 #16869                            ,1670 ROUTE 25                          ,RIDGE              ,11961
KING KULLEN #42                        ,795 OLD COUNTRY ROAD                   ,RIVERHEAD          ,11901
7-11 #22644                            ,1050 OLD COUNTRY ROAD                  ,RIVERHEAD          ,11901
GULF GAS                               ,1050 OSBORN AVENUE                     ,RIVERHEAD          ,11901
PLANET FITNESS                         ,116 KROEMOR AVENUE                     ,RIVERHEAD          ,11901
CAMPUS HERO                            ,660 ROUTE 25A                          ,ROCKY POINT        ,11778
PLANET FITNESS                         ,295 ROUTE 25A                          ,ROCKY POINT        ,11778
BELLA VITA                             ,53 NORTH FERRY ROAD                    ,SHELTER ISLAND     ,11964
STARS CAFE                             ,17 GRAND AVE                           ,SHELTER ISLAND HGHTS,11965
SHOP WITH US                           ,99-28 ROUTE 25A                        ,SHOREHAM           ,11786
ERIKS BREAKFAST & LUNCH                ,43715 COUNTY RD 48                     ,SOUTHOLD           ,11971
KING KULLEN #51                        ,6233 ROUTE 25A                         ,WADING RIVER       ,11792
KING KULLEN #48                        ,440 EAST MAIN STREET                   ,BAY SHORE          ,11706
KING KULLEN #23                        ,894 SUNRISE HIGHWAY                    ,BAY SHORE          ,11706
7-11 #29794                            ,1639 FIFTH AVENUE                      ,BAY SHORE          ,11706
SHELL                                  ,195 PINE AIRE DRIVE                    ,BAY SHORE          ,11706
CAFE BRIO PIZZERIA                     ,2042 SUNRISE HWY                       ,BAYSHORE           ,11751
A & P - PATHMARK D.I.P. #600           ,101 WICKS ROAD                         ,BRENTWOOD          ,11717
EL NOPAL                               ,328 WASHINGTON AVENUE                  ,BRENTWOOD          ,11717
HESS #32561                            ,1797 JOSHUAS PATH                      ,CENTRAL ISLIP      ,11722
EAST BRENTWOOD FIRE DISTRICT           ,26 FULTON STREET                       ,EAST BRENTWOOD     ,11717
7-11 #11217                            ,148 PINE AIRE DRIVE                    ,NORTH BAY SHORE    ,11706
KING KULLEN #28                        ,480 UNION BLVD                         ,WEST ISLIP         ,11795
CAPTREE DELI                           ,462 UNION BLVD.                        ,WEST ISLIP         ,11795
L.I. NINJUTSU CENTER                   ,235 UNION BLVD                         ,WEST ISLIP         ,11795
OAK NECK PIZZA                         ,945 MONTAUK HWY                        ,WEST ISLIP         ,11795
BEST YET MARKET                         ,1840 ROUTE 112                          ,CORAM               ,11727
7-11 #11226                             ,2011 ROUTE 112                          ,CORAM               ,11727
WILD BY NATURE #201                     ,198 MAIN STREET                         ,EAST SETAUKET       ,11733
SETAUKET GOURMET                        ,216 ROUTE 25A                           ,EAST SETAUKET       ,11733
7-11 #24427                             ,3000 NORTH OCEAN AVENUE                 ,FARMINGVILLE        ,11763
7-11 #26072                             ,361 ROUTE 25A & MILLER PLACE ROAD       ,MILLER PLACE        ,11764
BODY SOURCE                             ,61 ROUTE 25A                            ,MILLER PLACE        ,11764
KING KULLEN #18                         ,5507-200 NESCONSET HIGHWAY              ,MT. SINAI           ,11766
7-11 #25627                             ,ROUTE 25A & ROUTE 347                   ,MT. SINAI           ,11766
SUNOCO A PLUS - MT. SINAI               ,572 ROUTE 25A                           ,MT. SINAI           ,11766
CUSTOM CAFE & DELI                      ,156 WEST BROADWAY                       ,PORT JEFFERSON      ,11777
SPEEDY MART                             ,1034 ROUTE 112                          ,PORT JEFFERSON STA. ,11776
KING KULLEN #38                         ,307 INDEPENDENT PLAZA at                ,SELDEN              ,11784
A & P WALDBAUMS D.I.P. STORE # 662      ,211 MIDDLE COUNTRY ROAD                 ,SELDEN              ,11784
A & P WALDBAUMS D.I.P. STORE # 277      ,4054 NESCONSET HIGHWAY                  ,SETAUKET            ,11733
DUANE READE #14257                      ,1320-48 STONY BROOK ROAD                ,STONY BROOK         ,11790
HANDY PANTRY - BOHEMIA                 ,876 CHURCH STREET                      ,BOHEMIA            ,11716
7-11 #11222                            ,660 LAKELAND AVENUE                    ,BOHEMIA            ,11716
STERLING VENDING                       ,351 KNICKERBOCKER AVE                  ,BOHEMIA            ,11716
BO'S CITGO                             ,3200 VETS HIGHWAY                      ,BOHEMIA            ,11716
ISLIP FOOD WAREHOUSE                   ,32 WHEELER ROAD                        ,CENTRAL ISLIP      ,11722
SIDE BAR CAFE                          ,140 FEDERAL PLAZA                      ,CENTRAL ISLIP      ,11722
A & P WALDBAUMS D.I.P. STORE # 673     ,300 MONTAUK HIGHWAY                    ,EAST ISLIP         ,11730
AMI DELI                               ,117 W MAIN ST                          ,EAST ISLIP         ,11730
7-11 #33562                            ,1700 VETS HWY                          ,ISLANDIA           ,11749
7-11 #11214                            ,1224 OLD NICHOLS ROAD                  ,ISLANDIA           ,11749
AMMIRATI BROTHERS CATERING             ,2929 EXPRESSWAY DRIVE NORTH            ,ISLANDIA           ,11749
7-11 #11204                            ,2715 UNION BLVD                        ,ISLIP              ,11751
A & P - PATHMARK D.I.P. #639           ,155 ISLIP AVENUE                       ,ISLIP              ,11751
MOBIL - ISLIP TERRACE                  ,3239 SUNRISE HIGHWAY                   ,ISLIP TERRACE      ,11752
7-11 #27157                            ,56 LOWELL AVENUE                       ,ISLIP TERRACE      ,11752
A & P WALDBAUMS D.I.P. STORE # 669     ,1050 WILLIS AVENUE                     ,ALBERTSON          ,11507
A & P WALDBAUMS D.I.P. STORE # 223     ,2475 JERICHO TURNPIKE                  ,GARDEN CITY        ,11040
KING KULLEN #39                        ,23-05 JERICHO TURNPIKE                 ,GARDEN CITY PARK   ,11501
A & P WALDBAUMS D.I.P. STORE # 617     ,40 GREAT NECK ROAD                     ,GREAT NECK         ,11021
WHOLE FOODS - MANHASSET                ,2101 NORTHERN BLVD                     ,MANHASSET          ,11021
KING KULLEN #12                        ,52 EAST JERICHO TURNPIKE               ,MINEOLA            ,11501
NORTH SHORE FARMS - MINEOLA            ,330 EAST JERICHO TURNPIKE              ,MINEOLA            ,11501
A & P - PATHMARK D.I.P. #649           ,2335 NEW HYDE PARK                     ,NEW HYDE PARK      ,11040
DUANE READE #14240                     ,1596 UNION TURNPIKE                    ,NEW HYDE PARK      ,11040
KING KULLEN #58                        ,3 SHORE ROAD                           ,PORT WASHINGTON    ,11050
POWER TEN FITNESS CLUB                 ,102A HARBOR ACRES RD                   ,PORT WASHINGTON    ,11050
KING KULLEN #08,1430 NORTHERN BLVD ,MANHASSET,11030
DUANE READE #14467                      ,1445 HEMPSTEAD TURNPIKE                 ,ELMONT              ,11003
ELMONT DELI                             ,237-11 LINDEN BLVD.                     ,ELMONT              ,11003
NORTH SHORE U HOSPITAL - FRANKLIN       ,900 FRANKLIN AVENUE                     ,FRANKLIN SQUARE     ,11580
A & P - PATHMARK D.I.P. #633            ,460 FRANKLIN AVENUE                     ,FRANKLIN SQUARE     ,11010
GULF GAS - FRANKLIN SQUARE              ,1019 TULIP AVENUE                       ,FRANKLIN SQUARE     ,11010
7-11 #27942                             ,531 FULTON AVENUE                       ,HEMPSTEAD           ,11550
DELI CONVENIENCE                        ,113 N. FRANKLIN AVE                     ,HEMPSTEAD           ,11550
ONE STOP                                ,118 N. FRANKLIN AVE.                    ,HEMPSTEAD           ,11550
LA HACIENDA                             ,392 CLINTON STREET                      ,HEMPSTEAD           ,11550
CROSS ISLAND NEWSTAND                   ,68 WEST COLUMBIA STREET                 ,HEMPSTEAD           ,11550
HANNA DELI & GROCERY                    ,235 S FRANKLIN ST                       ,HEMPSTEAD           ,11550
7-11 #11180                             ,1275 FRONT STREET                       ,UNIONDALE           ,11553
RBN EL SOPON DELI                       ,1146 FRONT STREET                       ,UNIONDALE           ,11553
AMOCO - WEST HEMPSTEAD                  ,2 HEMPSTEAD AVE.                        ,WEST HEMPSTEAD      ,11552
WITCHES BREW COFFEE HOUSE               ,311 HEMPSTEAD TPKE                      ,WEST HEMPSTEAD      ,11552
